gene153	KVP18_000093	KAH0480881.1
gene153	KVP18_000093	KAH0480882.1
gene154	KVP18_000094	KAH0480883.1
gene155	KVP18_000095	KAH0480884.1
gene156	KVP18_000096	KAH0480885.1
gene157	KVP18_000097	KAH0480886.1
gene158	KVP18_000098	KAH0480887.1
gene159	KVP18_000099	KAH0480888.1
gene160	KVP18_000100	KAH0480889.1
gene161	KVP18_000101	KAH0480890.1
gene161	KVP18_000101	KAH0480891.1
gene162	KVP18_000102	KAH0480892.1
gene163	KVP18_000103	KAH0480893.1
gene164	KVP18_000104	KAH0475981.1
gene164	KVP18_000104	KAH0475982.1
gene165	KVP18_000105	KAH0475983.1
gene165	KVP18_000105	KAH0475984.1
gene165	KVP18_000105	KAH0475985.1
gene166	KVP18_000106	KAH0475986.1
gene167	KVP18_000107	KAH0475987.1
gene167	KVP18_000107	KAH0475988.1
gene168	KVP18_000108	KAH0475989.1
gene168	KVP18_000108	KAH0475990.1
gene169	KVP18_000109	KAH0475991.1
gene169	KVP18_000109	KAH0475992.1
gene169	KVP18_000109	KAH0475993.1
gene170	KVP18_000110	KAH0475994.1
gene171	KVP18_000111	KAH0475995.1
gene171	KVP18_000111	KAH0475996.1
gene171	KVP18_000111	KAH0475997.1
gene172	KVP18_000112	KAH0475998.1
gene172	KVP18_000112	KAH0475999.1
gene199	KVP18_000113	KAH0477142.1
gene200	KVP18_000114	KAH0479154.1
gene201	KVP18_000115	KAH0479155.1
gene214	KVP18_000116	KAH0479106.1
gene215	KVP18_000117	KAH0486402.1
gene216	KVP18_000118	KAH0486403.1
gene216	KVP18_000118	KAH0486404.1
gene217	KVP18_000119	KAH0486405.1
gene217	KVP18_000119	KAH0486406.1
gene217	KVP18_000119	KAH0486407.1
gene218	KVP18_000120	KAH0486408.1
gene220	KVP18_000121	KAH0474154.1
gene221	KVP18_000122	KAH0474155.1
gene221	KVP18_000122	KAH0474156.1
gene221	KVP18_000122	KAH0474157.1
gene221	KVP18_000122	KAH0474158.1
gene222	KVP18_000123	KAH0474159.1
gene222	KVP18_000123	KAH0474160.1
gene222	KVP18_000123	KAH0474161.1
gene223	KVP18_000124	KAH0474162.1
gene223	KVP18_000124	KAH0474163.1
gene224	KVP18_000125	KAH0474164.1
gene225	KVP18_000126	KAH0474165.1
gene226	KVP18_000127	KAH0474166.1
gene227	KVP18_000128	KAH0474167.1
gene227	KVP18_000128	KAH0474168.1
gene227	KVP18_000128	KAH0474169.1
gene241	KVP18_000129	KAH0472731.1
gene242	KVP18_000130	KAH0472732.1
gene242	KVP18_000130	KAH0472733.1
gene242	KVP18_000130	KAH0472734.1
gene243	KVP18_000131	KAH0472735.1
gene243	KVP18_000131	KAH0472736.1
gene244	KVP18_000132	KAH0472737.1
gene244	KVP18_000132	KAH0472738.1
gene245	KVP18_000133	KAH0472739.1
gene253	KVP18_000134	KAH0482193.1
gene253	KVP18_000134	KAH0482194.1
gene253	KVP18_000134	KAH0482195.1
gene253	KVP18_000134	KAH0482196.1
gene253	KVP18_000134	KAH0482197.1
gene253	KVP18_000134	KAH0482198.1
gene254	KVP18_000135	KAH0482199.1
gene254	KVP18_000135	KAH0482200.1
gene254	KVP18_000135	KAH0482201.1
gene254	KVP18_000135	KAH0482202.1
gene254	KVP18_000135	KAH0482203.1
gene255	KVP18_000136	KAH0482204.1
gene256	KVP18_000137	KAH0482205.1
gene256	KVP18_000137	KAH0482206.1
gene256	KVP18_000137	KAH0482207.1
gene257	KVP18_000138	KAH0482208.1
gene258	KVP18_000139	KAH0482209.1
gene258	KVP18_000139	KAH0482210.1
gene258	KVP18_000139	KAH0482211.1
gene259	KVP18_000140	KAH0482212.1
gene259	KVP18_000140	KAH0482213.1
gene260	KVP18_000141	KAH0482214.1
gene260	KVP18_000141	KAH0482215.1
gene261	KVP18_000142	KAH0482216.1
gene262	KVP18_000143	KAH0473409.1
gene262	KVP18_000143	KAH0473410.1
gene263	KVP18_000144	KAH0477044.1
gene263	KVP18_000144	KAH0477045.1
gene264	KVP18_000145	KAH0477046.1
gene264	KVP18_000145	KAH0477047.1
gene265	KVP18_000146	KAH0477048.1
gene266	KVP18_000147	KAH0477049.1
gene267	KVP18_000148	KAH0477050.1
gene267	KVP18_000148	KAH0477051.1
gene267	KVP18_000148	KAH0477052.1
gene268	KVP18_000149	KAH0477053.1
gene268	KVP18_000149	KAH0477054.1
gene268	KVP18_000149	KAH0477055.1
gene268	KVP18_000149	KAH0477056.1
gene268	KVP18_000149	KAH0477057.1
gene268	KVP18_000149	KAH0477058.1
gene268	KVP18_000149	KAH0477059.1
gene269	KVP18_000150	KAH0477060.1
gene269	KVP18_000150	KAH0477061.1
gene270	KVP18_000151	KAH0477062.1
gene271	KVP18_000152	KAH0477063.1
gene271	KVP18_000152	KAH0477064.1
gene271	KVP18_000152	KAH0477065.1
gene271	KVP18_000152	KAH0477066.1
gene272	KVP18_000153	KAH0477067.1
gene273	KVP18_000154	KAH0477068.1
gene273	KVP18_000154	KAH0477069.1
gene273	KVP18_000154	KAH0477070.1
gene274	KVP18_000155	KAH0477071.1
gene274	KVP18_000155	KAH0477072.1
gene274	KVP18_000155	KAH0477073.1
gene275	KVP18_000156	KAH0477074.1
gene276	KVP18_000157	KAH0477075.1
gene276	KVP18_000157	KAH0477076.1
gene277	KVP18_000158	KAH0477077.1
gene278	KVP18_000159	KAH0477078.1
gene278	KVP18_000159	KAH0477079.1
gene279	KVP18_000160	KAH0477080.1
gene279	KVP18_000160	KAH0477081.1
gene280	KVP18_000161	KAH0477082.1
gene281	KVP18_000162	KAH0477083.1
gene281	KVP18_000162	KAH0477084.1
gene282	KVP18_000163	KAH0477085.1
gene282	KVP18_000163	KAH0477086.1
gene283	KVP18_000164	KAH0477087.1
gene283	KVP18_000164	KAH0477088.1
gene284	KVP18_000165	KAH0477089.1
gene284	KVP18_000165	KAH0477090.1
gene285	KVP18_000166	KAH0477091.1
gene285	KVP18_000166	KAH0477092.1
gene286	KVP18_000167	KAH0477093.1
gene287	KVP18_000168	KAH0477094.1
gene288	KVP18_000169	KAH0477095.1
gene288	KVP18_000169	KAH0477096.1
gene289	KVP18_000170	KAH0477097.1
gene289	KVP18_000170	KAH0477098.1
gene305	KVP18_000171	KAH0487816.1
gene306	KVP18_000172	KAH0487817.1
gene307	KVP18_000173	KAH0487818.1
gene307	KVP18_000173	KAH0487819.1
gene308	KVP18_000174	KAH0487820.1
gene308	KVP18_000174	KAH0487821.1
gene309	KVP18_000175	KAH0487822.1
gene309	KVP18_000175	KAH0487823.1
gene310	KVP18_000176	KAH0475150.1
gene310	KVP18_000176	KAH0475151.1
gene310	KVP18_000176	KAH0475152.1
gene310	KVP18_000176	KAH0475153.1
gene310	KVP18_000176	KAH0475154.1
gene311	KVP18_000177	KAH0475155.1
gene311	KVP18_000177	KAH0475156.1
gene312	KVP18_000178	KAH0475157.1
gene312	KVP18_000178	KAH0475158.1
gene312	KVP18_000178	KAH0475159.1
gene313	KVP18_000179	KAH0475160.1
gene313	KVP18_000179	KAH0475161.1
gene314	KVP18_000180	KAH0475162.1
gene314	KVP18_000180	KAH0475163.1
gene314	KVP18_000180	KAH0475164.1
gene315	KVP18_000181	KAH0475165.1
gene315	KVP18_000181	KAH0475166.1
gene316	KVP18_000182	KAH0485380.1
gene316	KVP18_000182	KAH0485381.1
gene316	KVP18_000182	KAH0485382.1
gene317	KVP18_000183	KAH0485383.1
gene318	KVP18_000184	KAH0485384.1
gene318	KVP18_000184	KAH0485385.1
gene319	KVP18_000185	KAH0485386.1
gene320	KVP18_000186	KAH0485387.1
gene321	KVP18_000187	KAH0485388.1
gene322	KVP18_000188	KAH0485389.1
gene322	KVP18_000188	KAH0485390.1
gene323	KVP18_000189	KAH0485391.1
